record_name,start_idx,end_idx,num_peaks
100,0,720,3
100,360,1080,3
100,720,1440,2
100,1080,1800,2
100,1440,2160,3
100,1800,2520,3
100,2160,2880,2
100,2520,3240,2
100,2880,3600,3
100,3240,3960,3
100,3600,4320,2
100,3960,4680,2
100,4320,5040,2
100,4680,5400,3
100,5040,5760,3
100,5400,6120,2
100,5760,6480,2
100,6120,6840,3
100,6480,7200,3
100,6840,7560,2
100,7200,7920,2
100,7560,8280,3
100,7920,8640,3
100,8280,9000,2
100,8640,9360,2
100,9000,9720,3
100,9360,10080,3
100,9720,10440,2
100,10080,10800,2
100,10440,11160,2
100,10800,11520,3
100,11160,11880,3
100,11520,12240,2
100,11880,12600,2
100,12240,12960,3
100,12600,13320,3
100,12960,13680,2
100,13320,14040,2
100,13680,14400,2
100,14040,14760,3
100,14400,15120,3
100,14760,15480,2
100,15120,15840,2
100,15480,16200,3
100,15840,16560,3
100,16200,16920,2
100,16560,17280,2
100,16920,17640,2
100,17280,18000,3
100,17640,18360,3
100,18000,18720,2
100,18360,19080,2
100,18720,19440,3
100,19080,19800,3
100,19440,20160,2
100,19800,20520,2
100,20160,20880,3
100,20520,21240,3
100,20880,21600,2
100,21240,21960,2
100,21600,22320,2
100,21960,22680,3
100,22320,23040,3
100,22680,23400,2
100,23040,23760,3
100,23400,24120,3
100,23760,24480,2
100,24120,24840,2
100,24480,25200,3
100,24840,25560,3
100,25200,25920,2
100,25560,26280,2
100,25920,26640,2
100,26280,27000,3
100,26640,27360,3
100,27000,27720,2
100,27360,28080,2
100,27720,28440,3
100,28080,28800,3
100,28440,29160,2
100,28800,29520,2
100,29160,29880,3
100,29520,30240,3
100,29880,30600,2
100,30240,30960,2
100,30600,31320,2
100,30960,31680,3
100,31320,32040,3
100,31680,32400,2
100,32040,32760,2
100,32400,33120,2
100,32760,33480,3
100,33120,33840,3
100,33480,34200,2
100,33840,34560,2
100,34200,34920,3
100,34560,35280,3
100,34920,35640,2
100,35280,36000,2
100,35640,36360,3
100,36000,36720,3
100,36360,37080,2
100,36720,37440,2
100,37080,37800,3
100,37440,38160,3
100,37800,38520,2
100,38160,38880,2
100,38520,39240,2
100,38880,39600,3
100,39240,39960,3
100,39600,40320,2
100,39960,40680,3
100,40320,41040,3
100,40680,41400,2
100,41040,41760,2
100,41400,42120,3
100,41760,42480,3
100,42120,42840,2
100,42480,43200,2
100,42840,43560,2
100,43200,43920,3
100,43560,44280,3
100,43920,44640,2
100,44280,45000,2
100,44640,45360,3
100,45000,45720,3
100,45360,46080,2
100,45720,46440,2
100,46080,46800,3
100,46440,47160,3
100,46800,47520,2
100,47160,47880,2
100,47520,48240,3
100,47880,48600,3
100,48240,48960,2
100,48600,49320,2
100,48960,49680,3
100,49320,50040,3
100,49680,50400,2
100,50040,50760,2
100,50400,51120,3
100,50760,51480,3
100,51120,51840,2
100,51480,52200,2
100,51840,52560,3
100,52200,52920,3
100,52560,53280,2
100,52920,53640,3
100,53280,54000,3
100,53640,54360,2
100,54000,54720,2
100,54360,55080,3
100,54720,55440,3
100,55080,55800,2
100,55440,56160,2
100,55800,56520,3
100,56160,56880,3
100,56520,57240,2
100,56880,57600,2
100,57240,57960,3
100,57600,58320,3
100,57960,58680,2
100,58320,59040,2
100,58680,59400,3
100,59040,59760,3
100,59400,60120,2
100,59760,60480,2
100,60120,60840,3
100,60480,61200,3
100,60840,61560,2
100,61200,61920,2
100,61560,62280,3
100,61920,62640,3
100,62280,63000,2
100,62640,63360,2
100,63000,63720,3
100,63360,64080,3
100,63720,64440,2
100,64080,64800,2
100,64440,65160,2
100,64800,65520,3
100,65160,65880,3
100,65520,66240,2
100,65880,66600,2
100,66240,66960,3
100,66600,67320,3
100,66960,67680,2
100,67320,68040,3
100,67680,68400,3
100,68040,68760,2
100,68400,69120,2
100,68760,69480,2
100,69120,69840,3
100,69480,70200,3
100,69840,70560,2
100,70200,70920,2
100,70560,71280,3
100,70920,71640,3
100,71280,72000,2
100,71640,72360,2
100,72000,72720,3
100,72360,73080,3
100,72720,73440,2
100,73080,73800,2
100,73440,74160,2
100,73800,74520,3
100,74160,74880,3
100,74520,75240,2
100,74880,75600,2
100,75240,75960,3
100,75600,76320,3
100,75960,76680,2
100,76320,77040,2
100,76680,77400,3
100,77040,77760,3
100,77400,78120,2
100,77760,78480,2
100,78120,78840,3
100,78480,79200,3
100,78840,79560,2
100,79200,79920,2
100,79560,80280,2
100,79920,80640,3
100,80280,81000,3
100,80640,81360,2
100,81000,81720,2
100,81360,82080,3
100,81720,82440,3
100,82080,82800,2
100,82440,83160,2
100,82800,83520,3
100,83160,83880,3
100,83520,84240,2
100,83880,84600,2
100,84240,84960,2
100,84600,85320,3
100,84960,85680,3
100,85320,86040,2
100,85680,86400,2
100,86040,86760,2
100,86400,87120,3
100,86760,87480,3
100,87120,87840,2
100,87480,88200,2
100,87840,88560,3
100,88200,88920,3
100,88560,89280,2
100,88920,89640,2
100,89280,90000,3
100,89640,90360,3
100,90000,90720,2
100,90360,91080,2
100,90720,91440,2
100,91080,91800,3
100,91440,92160,3
100,91800,92520,2
100,92160,92880,2
100,92520,93240,2
100,92880,93600,3
100,93240,93960,3
100,93600,94320,2
100,93960,94680,2
100,94320,95040,3
100,94680,95400,3
100,95040,95760,2
100,95400,96120,2
100,95760,96480,3
100,96120,96840,3
100,96480,97200,2
100,96840,97560,2
100,97200,97920,2
100,97560,98280,3
100,97920,98640,3
100,98280,99000,2
100,98640,99360,2
100,99000,99720,3
100,99360,100080,3
100,99720,100440,2
100,100080,100800,3
100,100440,101160,3
100,100800,101520,2
100,101160,101880,2
100,101520,102240,3
100,101880,102600,3
100,102240,102960,2
100,102600,103320,2
100,102960,103680,3
100,103320,104040,3
100,103680,104400,2
100,104040,104760,2
100,104400,105120,3
100,104760,105480,3
100,105120,105840,2
100,105480,106200,2
100,105840,106560,2
100,106200,106920,3
100,106560,107280,3
100,106920,107640,2
100,107280,108000,2
100,107640,108360,3
100,108000,108720,3
100,108360,109080,2
100,108720,109440,2
100,109080,109800,3
100,109440,110160,3
100,109800,110520,2
100,110160,110880,2
100,110520,111240,2
100,110880,111600,3
100,111240,111960,3
100,111600,112320,2
100,111960,112680,2
100,112320,113040,3
100,112680,113400,3
100,113040,113760,2
100,113400,114120,2
100,113760,114480,3
100,114120,114840,3
100,114480,115200,2
100,114840,115560,3
100,115200,115920,3
100,115560,116280,2
100,115920,116640,2
100,116280,117000,3
100,116640,117360,3
100,117000,117720,2
100,117360,118080,3
100,117720,118440,3
100,118080,118800,2
100,118440,119160,2
100,118800,119520,3
100,119160,119880,3
100,119520,120240,2
100,119880,120600,2
100,120240,120960,2
100,120600,121320,3
100,120960,121680,3
100,121320,122040,2
100,121680,122400,2
100,122040,122760,3
100,122400,123120,3
100,122760,123480,2
100,123120,123840,2
100,123480,124200,2
100,123840,124560,3
100,124200,124920,3
100,124560,125280,2
100,124920,125640,2
100,125280,126000,3
100,125640,126360,3
100,126000,126720,2
100,126360,127080,3
100,126720,127440,3
100,127080,127800,2
100,127440,128160,3
100,127800,128520,3
100,128160,128880,2
100,128520,129240,3
100,128880,129600,3
100,129240,129960,2
100,129600,130320,3
100,129960,130680,3
100,130320,131040,2
100,130680,131400,3
100,131040,131760,3
100,131400,132120,2
100,131760,132480,3
100,132120,132840,3
100,132480,133200,3
100,132840,133560,3
100,133200,133920,2
100,133560,134280,3
100,133920,134640,3
100,134280,135000,3
100,134640,135360,3
100,135000,135720,2
100,135360,136080,3
100,135720,136440,3
100,136080,136800,2
100,136440,137160,2
100,136800,137520,3
100,137160,137880,3
100,137520,138240,2
100,137880,138600,3
100,138240,138960,3
100,138600,139320,2
100,138960,139680,2
100,139320,140040,3
100,139680,140400,3
100,140040,140760,2
100,140400,141120,2
100,140760,141480,3
100,141120,141840,3
100,141480,142200,2
100,141840,142560,3
100,142200,142920,3
100,142560,143280,3
100,142920,143640,3
100,143280,144000,2
100,143640,144360,3
100,144000,144720,3
100,144360,145080,2
100,144720,145440,3
100,145080,145800,3
100,145440,146160,2
100,145800,146520,3
100,146160,146880,3
100,146520,147240,2
100,146880,147600,3
100,147240,147960,3
100,147600,148320,2
100,147960,148680,3
100,148320,149040,3
100,148680,149400,2
100,149040,149760,2
100,149400,150120,3
100,149760,150480,3
100,150120,150840,2
100,150480,151200,3
100,150840,151560,3
100,151200,151920,2
100,151560,152280,3
100,151920,152640,3
100,152280,153000,2
100,152640,153360,2
100,153000,153720,3
100,153360,154080,3
100,153720,154440,2
100,154080,154800,3
100,154440,155160,3
100,154800,155520,2
100,155160,155880,3
100,155520,156240,3
100,155880,156600,2
100,156240,156960,3
100,156600,157320,3
100,156960,157680,2
100,157320,158040,3
100,157680,158400,3
100,158040,158760,3
100,158400,159120,3
100,158760,159480,3
100,159120,159840,3
100,159480,160200,2
100,159840,160560,3
100,160200,160920,3
100,160560,161280,3
100,160920,161640,3
100,161280,162000,2
100,161640,162360,3
100,162000,162720,3
100,162360,163080,2
100,162720,163440,3
100,163080,163800,3
100,163440,164160,2
100,163800,164520,3
100,164160,164880,3
100,164520,165240,2
100,164880,165600,3
100,165240,165960,3
100,165600,166320,3
100,165960,166680,3
100,166320,167040,2
100,166680,167400,3
100,167040,167760,3
100,167400,168120,2
100,167760,168480,2
100,168120,168840,3
100,168480,169200,3
100,168840,169560,2
100,169200,169920,3
100,169560,170280,3
100,169920,170640,2
100,170280,171000,2
100,170640,171360,2
100,171000,171720,3
100,171360,172080,3
100,171720,172440,2
100,172080,172800,3
100,172440,173160,3
100,172800,173520,2
100,173160,173880,2
100,173520,174240,3
100,173880,174600,3
100,174240,174960,2
100,174600,175320,2
100,174960,175680,3
100,175320,176040,3
100,175680,176400,2
100,176040,176760,3
100,176400,177120,3
100,176760,177480,2
100,177120,177840,3
100,177480,178200,3
100,177840,178560,2
100,178200,178920,3
100,178560,179280,3
100,178920,179640,2
100,179280,180000,3
100,179640,180360,3
100,180000,180720,3
100,180360,181080,3
100,180720,181440,2
100,181080,181800,2
100,181440,182160,3
100,181800,182520,3
100,182160,182880,2
100,182520,183240,3
100,182880,183600,3
100,183240,183960,2
100,183600,184320,2
100,183960,184680,3
100,184320,185040,3
100,184680,185400,2
100,185040,185760,2
100,185400,186120,2
100,185760,186480,3
100,186120,186840,3
100,186480,187200,2
100,186840,187560,2
100,187200,187920,3
100,187560,188280,3
100,187920,188640,2
100,188280,189000,2
100,188640,189360,3
100,189000,189720,3
100,189360,190080,2
100,189720,190440,2
100,190080,190800,2
100,190440,191160,3
100,190800,191520,3
100,191160,191880,2
100,191520,192240,2
100,191880,192600,3
100,192240,192960,3
100,192600,193320,2
100,192960,193680,2
100,193320,194040,3
100,193680,194400,3
100,194040,194760,2
100,194400,195120,2
100,194760,195480,3
100,195120,195840,3
100,195480,196200,2
100,195840,196560,2
100,196200,196920,3
100,196560,197280,3
100,196920,197640,2
100,197280,198000,3
100,197640,198360,3
100,198000,198720,2
100,198360,199080,3
100,198720,199440,3
100,199080,199800,2
100,199440,200160,2
100,199800,200520,3
100,200160,200880,3
100,200520,201240,2
100,200880,201600,3
100,201240,201960,3
100,201600,202320,2
100,201960,202680,3
100,202320,203040,3
100,202680,203400,2
100,203040,203760,3
100,203400,204120,3
100,203760,204480,2
100,204120,204840,2
100,204480,205200,3
100,204840,205560,3
100,205200,205920,2
100,205560,206280,2
100,205920,206640,3
100,206280,207000,3
100,206640,207360,2
100,207000,207720,2
100,207360,208080,3
100,207720,208440,3
100,208080,208800,2
100,208440,209160,3
100,208800,209520,3
100,209160,209880,2
100,209520,210240,2
100,209880,210600,3
100,210240,210960,3
100,210600,211320,2
100,210960,211680,3
100,211320,212040,3
100,211680,212400,2
100,212040,212760,2
100,212400,213120,3
100,212760,213480,3
100,213120,213840,2
100,213480,214200,3
100,213840,214560,3
100,214200,214920,2
100,214560,215280,2
100,214920,215640,3
100,215280,216000,3
